"featureid"	"Adduct"	"CAS_Number"	"Charge"	"Compound_Name"	"Compound_Source"	"Data_Collector"	"ExactMass"	"FileScanUniqueID"	"INCHI"	"INCHI_AUX"	"Instrument"	"IonMode"	"Ion_Source"	"LibMZ"	"LibraryName"	"LibraryQualityString"	"Library_Class"	"MQScore"	"MZErrorPPM"	"MassDiff"	"NumberHits"	"Organism"	"PI"	"Precursor_MZ"	"Pubmed_ID"	"RT_Query"	"SharedPeaks"	"Smiles"	"SpecCharge"	"SpecMZ"	"SpectrumFile"	"SpectrumID"	"TIC_Query"	"UpdateWorkflowName"	"tags"	"internalFilename"
591	"M+H"	60184	1	"Spectral Match to L-Tyrosine from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf591"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	182.081	"lib-00032.mgf"	"Bronze"	3	0.999952	0	0	1	"GNPS-NIST14-MATCHES"	"Data from Joshua Wollam"	182.081	"N/A"	0	7	"N/A"	1	182.081	"specs_ms.mgf"	"CCMSLIB00003137613"	33130000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
3897	"M+H"	65827	1	"Spectral Match to L-Methionine, N-acetyl- from NIST14"	"Isolated"	"Data deposited by mjmeehan"	0	"spectra/specs_ms.mgf3897"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	192.069	"lib-00032.mgf"	"Bronze"	3	0.99911	1.58889	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Gabriel Haddad"	192.069	"N/A"	0	8	"N/A"	1	192.069	"specs_ms.mgf"	"CCMSLIB00003137772"	854000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2623	"[M+H]+"	"73-22-3"	1	"Massbank:BML01185 L-Tryptophan"	"Isolated"	"Massbank"	0	"spectra/specs_ms.mgf2623"	"1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)"	"N/A"	"LC-ESI-QTOF"	"Positive"	"ESI"	205.097	"lib-00004.mgf"	"Bronze"	3	0.997329	0.520785	0.000106812	1	"MASSBANK"	"Putative Massbank Match"	205.097	"N/A"	0	7	"C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N"	1	205.097	"specs_ms.mgf"	"CCMSLIB00000205165"	3454000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
10189	"M+H"	"2457-80-9"	0	"5'-METHYLTHIOADENOSINE"	"Commercial standard"	"Prasad"	297.09	"spectra/specs_ms.mgf10189"	"N/A"	"N/A"	"Q-Exactive Plus"	"Positive"	"LC-ESI"	298.1	"lib-00016.mgf"	"Gold"	1	0.995976	12.0801	0.00360107	1	"GNPS-EMBL-MCF"	"Alexandrov Theodore"	298.1	439176	0	7	"CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O"	1	298.096	"specs_ms.mgf"	"CCMSLIB00000577895"	688000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
7006	"M+H-H2O"	552636	1	"Spectral Match to Tropic acid from NIST14"	"Isolated"	"Data deposited by lfnothias"	0	"spectra/specs_ms.mgf7006"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	149.06	"lib-00032.mgf"	"Bronze"	3	0.99579	2.04734	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	149.06	"N/A"	0	6	"N/A"	1	149.06	"specs_ms.mgf"	"CCMSLIB00003136298"	4700000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
1189	"M+H"	"N/A"	1	"Spectral Match to Tyr-Leu from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf1189"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	295.164	"lib-00032.mgf"	"Bronze"	3	0.993742	2.37801	0.000701904	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	295.164	"N/A"	0	11	"N/A"	1	295.165	"specs_ms.mgf"	"CCMSLIB00003138902"	2448800	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
5539	"M+H"	134623	1	"Spectral Match to Diethyltoluamide from NIST14"	"Isolated"	"Data deposited by pmallard"	0	"spectra/specs_ms.mgf5539"	"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3"	"N/A"	"qTof"	"Positive"	"LC-ESI"	192.138	"lib-00032.mgf"	"Bronze"	3	0.993114	0.55591	0.000106812	1	"GNPS-NIST14-MATCHES"	"Data from Wolfender/Litaudon"	192.138	"N/A"	0	6	"O=C(N(CC)CC)c1cccc(C)c1"	1	192.138	"specs_ms.mgf"	"CCMSLIB00003137365"	2231200	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
235	"M+H"	"63-91-2"	0	"L-PHENYLALANINE"	"Commercial standard"	"Prasad"	165.079	"spectra/specs_ms.mgf235"	"N/A"	"N/A"	"Q-Exactive Plus"	"Positive"	"LC-ESI"	166.09	"lib-00016.mgf"	"Gold"	1	0.992315	22.8758	0.00379944	1	"GNPS-EMBL-MCF"	"Alexandrov Theodore"	166.09	6140	0	7	"c1(C[C@@H](C(=O)O)N)ccccc1"	1	166.086	"specs_ms.mgf"	"CCMSLIB00000577901"	39420000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
5866	"M+H"	"63-68-3"	1	"METHIONINE"	"Commercial"	"Kelly Weldon"	149.051	"spectra/specs_ms.mgf5866"	"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1"	"N/A"	"Orbitrap"	"Positive"	"ESI"	150.058	"lib-00015.mgf"	"Gold"	1	0.991066	2.64383	0.000396729	1	"GNPS-MSMLS"	"Dorrestein"	150.058	"N/A"	0	7	"CSCC[C@H](N)C(O)=O"	1	150.058	"specs_ms.mgf"	"CCMSLIB00005464040"	27470000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
329	"M+H"	60184	1	"Spectral Match to L-Tyrosine from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf329"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	182.081	"lib-00032.mgf"	"Bronze"	3	0.990982	0.586615	0.000106812	1	"GNPS-NIST14-MATCHES"	"Data from Joshua Wollam"	182.081	"N/A"	0	7	"N/A"	1	182.081	"specs_ms.mgf"	"CCMSLIB00003137613"	147400000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
